,Variable,Title,WVS7,WVS6,WVS5,WVS4,WVS3,WVS2,WVS1,
,G015,Which of the following best describes you,,,,,V208,,,
,G015B,Which of the following best describes you (B),,,,V218,,,,
,G016,Language at home,Q272,V247,V222,V219,V209,,,
,G017,Born in this country: birth country,,,,,V206,V348,,
,G018,When came to country,,,,,V207,V349,,
,G019,I see myself as a world citizen,,V212,V210,,,,,
,G020,I see myself as member of my local community,,V213,V211,,,,,
,G021,I see myself as citizen of the [country] nation,,V214,V212,,,,,
,G022A,I see myself as citizen of [Latinamerica],,V215_08,V213A,,,,,
,G022B,I see myself as citizen of [North America],,V215_07,V213B,,,,,
,G022C,I see myself as citizen of the [European Union],,V215_01,V213C,,,,,
,G022D,I see myself as citizen of [APEC],,V215_02,V213D,,,,,
,G022E,I see myself as citizen of [ASIA],,V215_14,V213E,,,,,
,G022F,I see myself as citizen of [Mercosur],,V215_10,V213F,,,,,
,G022G,I see myself as citizen of [my province or region],,,V213G,,,,,
,G022H,I see myself as citizen of [a country other than mine],,,V213H,,,,,
,G022I,I see myself as citizen of [CIS],,V215_11,,,,,,
,G022J,I see myself as citizen of [The Caribbean],,V215_04,,,,,,
,G022K,I see myself as citizen of [The African Union],,V215_12,V213K,,,,,
,G022L,I see myself as citizen of [Arab Maghreb Union],,V215_05,V213L,,,,,
,G022M,I see myself as citizen of [ASEAN],,V215_13,V213M,,,,,
,G022N,I see myself as citizen of [Arab Union],,V215_06,V213N,,,,,
,G022O,I see myself as citizen of the [Northeast Asia Region],,V215_03,,,,,,
,G022P,I see myself as citizen of the [UNASUR],,V215_15,,,,,,
,G022Q,I see myself as citizen of the [Islamic nation],,V215_16,,,,,,
,G022R,I see myself as part of the Cooperation Council for the Arab states of Gulf (GCC),,V215_17,,,,,,
,G022S,I see myself as part of  [SAARC],,V215_18,,,,,,
,G023,I see myself as an autonomous individual,,V216,V214,,,,,
,G024,What thing are you proud of in your country -1st,,,,,,V286,,
,G025,What thing are you proud of in your country -2nd,,,,,,V287,,
,G026,Mother immigrant,Q264,V243,V215,,,,,
,G026_01,Mother's Country of origin,,V243_AU,,,,,,
,G027,Father immigrant,Q265,V244,V216,,,,,
,G027_01,Father's Country of origin,,V244_AU,,,,,,
,G027A,Respondent immigrant,Q263,V245,,,,,,
,G027B,Respondent citizen,Q269,V246,,,,,,
,G028,Requirements for citizenship: having ancestors from my country,,,V217,,,,,
,G029,Requirements for citizenship: being born on my country’s soil,,,V218,,,,,
,G030,Requirements for citizenship: adopting the customs of my country,,,V219,,,,,
,G031,Requirements for citizenship: abiding by my country´s laws,,,V220,,,,,
,G032,Ethnic diversity,,,V221,,,,,
,G052,Evaluate the impact of immigrants on the development of [your country],Q121,,,,,,,
,G053,Effects of immigrants on the development of [your country]: Fill useful jobs in the workforce,Q122,,,,,,,
,G054,Effects of immigrants on the development of [your country]: Strengthen cultural diversity,Q123,,,,,,,
,G055,Effects of immigrants on the development of [your country]: Increase the crime rate,Q124,,,,,,,
,G056,Effects of immigrants on the development of [your country]: Give asylum to political refugees,Q125,,,,,,,
,G057,Effects of immigrants on the development of [your country]: Increase the risks of terrorism,Q126,,,,,,,
,G058,Effects of immigrants on the development of [your country]: Help poor people establish new lives,Q127,,,,,,,
,G059,Effects of immigrants on the development of [your country]: Increase unemployment,Q128,,,,,,,
,G060,Effects of immigrants on the development of [your country]: Lead to social conflict,Q129,,,,,,,
,G062,"How close you feel: Continent; e.g. Europe, Asia etc.]",Q258,,,,,,,
,G063,How close you feel: World,Q259,,,,,,,
,G255,"How close you feel: Your [village, town or city]",Q255,,,,,,,
,G256,"Feel close to your district, region",Q256,,,,,,,
,G257,Feel close to your country,Q257,,,,,,,
,H001,Secure in neighborhood,Q131,V170,,,,,,
,H002_01,Frequency in your neighborhood: Robberies,Q132,V171,,,,,,
,H002_02,Frequency in your neighborhood: Alcohol consumed in the streets,Q133,V172,,,,,,
,H002_03,Frequency in your neighborhood: Police or military interfere with people’s private life,Q134,V173,,,,,,
,H002_04,Frequency in your neighborhood: Racist behavior,Q135,V174,,,,,,
,H002_05,Frequency in your neighborhood: Drug sale in streets,Q136,V175,,,,,,
,H003_01,Things done for reasons of security: Didn’t carry much money,Q139,V176,,,,,,
,H003_02,Things done for reasons of security: Preferred not to go out at night,Q140,V177,,,,,,
,H003_03,"Things done for reasons of security: Carried a knife, gun or other weapon",Q141,V178,,,,,,
,H004,Respondent was victim of a crime during the past year,Q144,V179,,,,,,
,H005,Respondent's family was victim of a crime during last year,Q145,V180,,,,,,
,H006_01,Worries: Losing my job or not finding a job,Q142,V181,,,,,,
,H006_02,Worries: Not being able to give one's children a good education,Q143,V182,,,,,,
,H006_03,Worries: A war involving my country,Q146,V183,,,,,,
,H006_04,Worries: A terrorist attack,Q147,V184,,,,,,
,H006_05,Worries: A civil war,Q148,V185,,,,,,
,H006_06,Worries: Government wire-tapping or reading my mail or email,,V186,,,,,,
,H007,"Under some conditions, war is necessary to obtain justice",,V187,,,,,,
,H008_01,Frequency you/family (last 12 month): Gone without enough food to eat,Q51,V188,,,,,,
,H008_02,Frequency you/family (last 12 month): Felt unsafe from crime in your own home,Q52,V189,,,,,,
,H008_03,Frequency you/family (last 12 month): Gone without needed medicine or treatment that you needed,Q53,V190,,,,,,
,H008_04,Frequency you/family (last 12 month): Gone without a cash income,Q54,V191,,,,,,
,H008_05,How frequently do the following things occur in your neighborhood: Street violence and fights,Q137,,,,,,,
,H008_06,How frequently do the following things occur in your neighborhood: Sexual harassment,Q138,,,,,,,
,H008_07,Freedom and Equality - Which more important,Q149,,,,,,,
,H008_08,Freedom and securiy - Which more important,Q150,,,,,,,
,H008_09,"In the last 12 month, how often have you or your family: Gone without a safe shelter over your head",Q55,,,,,,,
,H009,Government has the right: Keep people under video surveillance in public areas,Q196,,,,,,,
,H010,Government has the right: Monitor all e-mails and any other information exchanged on the Internet,Q197,,,,,,,
,H011,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge,Q198,,,,,,,
,I001,One of the bad effects of science is that it breaks down people’s ideas of right and wrong,Q161,V195,,,,,,
,I002,It is not important for me to know about science in my daily life,Q162,V196,,,,,,
,MODE,Mode of data collection,Q_MODE,Qmode,Qmode,Qmode,Qmode,Qmode,Qmode,
,PWGHT,Population size weight,PWGHT,,,,,,,
,S002VS,Chronology of EVS-WVS waves,A_WAVE,V1,V1,V1,V1,V1,V1,
,S003,ISO 3166-1 numeric country code,B_COUNTRY,V2,V2,V2,V2,V2,V2,
,S006,Original respondent number,S006,S006,S006,S006,S006,S006,S006,
,S007,Unified respondent number,S007,S007,S007,S007,S007,S007,S007,
,S008,Interviewer number,L_INTERVIEWER_NUMBER,,,,,,,
,S010,Total length of interview,K_DURATION,,,V239,V230,V366,,
,S011A,Time of the interview - Start,K_TIME_START,,,,,,,
,S011B,Time at the end of interview,K_TIME_END,,,V238,V229,V365,,
,S012,Date interview,J_INTDATE,V261,V261,V247,,,,
,S013,Respondent interested during the interview,E_RESPINT,V251,V254,V240,V231,V367,,
,S013B,Interview privacy,F_INTPRIVACY,V252,,,,,,
,S016,Language of the interview (WVS/EVS list of languages),LNG_NUM,LNG_NUM,LNG_NUM,LNG_NUM,LNG_NUM,LNG_NUM,,
,S016B,Language in which interview was conducted,S_INTLANGUAGE,V257,V258,V244,V235,V373,,
,S017,Weight,W_WEIGHT,V258,V259,V245,V236,V376,V236,
,S018,Equilibrated weight-1000,S018,S018,S018,S018,S018,S018,S018,
,S020,Year survey,A_YEAR,V262,V260,V246,V238,V377,V237,
,S021,Country - wave - study - set - year,S021,S021,S021,S021,S021,S021,S021,
,S022,Year/month of start-fieldwork,FW_START,FW_START,FW_START,FW_START,FW_START,FW_START,FW_START,
,S023,Year/month of end-fieldwork,FW_END,FW_END,FW_END,FW_END,FW_END,FW_END,FW_END,
,S024,Country - wave,S024,S024,S024,S024,S024,S024,S024,
,S025,Country - year,S025,S025,S025,S025,S025,S025,S025,
,V001,Father born in country,V001,,,,,,,
,V001A,Fathers country of birth - ISO 3166-1 code,Q268,,,,,,,
,V002,Mother born in country,V002,,,,,,,
,V002A,Mothers country of birth - ISO 3166-1 code,Q267,,,,,,,
,V004AF_01,Highest educational level attained - Respondent´s Father ISCED,Q278,,,,,,,
,V004AM_01,Highest educational level attained - Respondent´s Mother ISCED,Q277,,,,,,,
,V004RF,Highest educational level attained - Respondent´s Father (Recoded),Q278R,,,,,,,
,V004RM,Highest educational level attained - Respondent´s Mother (Recoded),Q277R,,,,,,,
,V097EF,Respondent´s Father - Occupational group (when respondent was 14 years old) (WVS),Q283,,,,,,,
,W002A_01,Highest educational level attained - Respondent´s Spouse ISCED,Q276,,,,,,,
,W002D,Country specific: Education level partner,Q276A,,,,,,,
,W002R,educational level partner (recoded),Q276R,,,,,,,
,W003,Employment status - Responent´s Spouse,Q280,,,,,,,
,W006E,Respondent´s Spouse - Occupational group (WVS),Q282,,,,,,,
,X001,Sex,Q260,V240,V235,V223,V214,V353,V214,
,X002,Year of birth,Q261,V241,V236,V224,V215,V354,V215,
,X002_02A,Respondents country of birth - ISO 3166-1 code,Q266,,,,,,,
,X003,Age,Q262,V242,V237,V225,V216,V355,V216,
,X003R,Age recoded (6 intervals),X003R,X003R,V237R,V225R,v216R,X003R,X003R,
,X003R2,Age recoded (3 intervals),X003R2,X003R2,V237R2,V225R2,v216R2,X003R2,X003R2,
,X007,Marital status,Q273,V57,V55,V106,V89,V181,V89,
,X008,Have you been married before,,,,,,V182,,
,X010,Where r lived after married,,,,IV67,,,,
,X011,How many children do you have,Q274,V58,V56,V107,V90,V211,V90,
,X011A,Have you had any children,,,,,,,V90A,
,X012,How many are still living at home,,,,,,V212,,
,X013,Number of people in household,Q270,,V265,,,,,
,X023,What age did you complete your education,,V249,V239,V227,V218,,V218,
,X023R,What age did you complete your education (recoded in intervals),EVS_v242_r,,,,,V356,,
,X024B,Respondent - literate,,,V262,,,,,
,X025,Highest educational level attained,,V248,V238,V226,V217,V375,,
,X025A_01,Highest educational level attained - Respondent ISCED-2011,Q275,,,,,,,
,X025CSWVS,Education (country specific),Q275A,V248_CS,V238CS,V226CS,V217CS,V375CS,,
,X025LIT,Was the respondent literate,,V255,,,,,,
,X025R,Education level (recoded),Q275R,V248R,V238R,V226R,V217R,V375R,,
,X026,Do you live with your parents,Q271,V250,V240,V228,V219,V357,V219,
,X028,Employment status,Q279,V229,V241,V229,V220,V358,V220,
,X031,Are you supervising someone,,V234,V247,,,,,
,X036,Profession/job,,V265,V242,V230,V221,V359,V221,
,X036E,Respondent - Occupational group (WVS),Q281,,,,,,,
,X040,Are you the chief wage earner in your house,Q285,V235,V248,V231,V222,V360,V222,
,X041,Is the chief wage earner employed now,,V236,V249,V232,V223,V361,,
,X043,Chief wage earner profession/job,,,V250,V233,V224,V362,V224,
,X044,Family savings during past year,Q286,V237,V251,V234,V225,,,
,X045,Social class (subjective),Q287,V238,V252,V235,V226,,V226,
,X045B,Social class (subjective) with 6 categories,,,V252B,,,,,
,X046,Socio-economic status of respondent,,,,,,V364,,
,X047_WVS,Scale of incomes,Q288,V239,V253,V236,V227,V363,V227,
,X047CS,Scale of incomes (Country specific),,,V253CS,V236CS,V227CS,V363CS,,
,X047R_WVS,Subjective income level (recoded in 3 groups),Q288R,V239R,V253R,V236R,V227R,V363R,V227R,
,X048ISO,Region ISO 3166-2,N_REGION_ISO,N_REGION_ISO,N_REGION_ISO,REGION_ISO,N_REGION_ISO,N_REGION_ISO,N_REGION_ISO,
,X048WVS,Region where the interview was conducted (WVS),N_REGION_WVS,V256,V257,V243,V234,V370,V234,
,X049,Settlement size,G_TOWNSIZE,V253,V255,V241,V232,V368,,
,X049A,Settlement size_5 groups,G_TOWNSIZE2,G_TOWNSIZE2,G_TOWNSIZE2,G_TOWNSIZE2,G_TOWNSIZE2,G_TOWNSIZE2,,
,X049CS,Settlement size (country specific),,V253_CS,V255CS,V241CS,V232CS,V368CS,,
,X050,Type of habitat,,,,,,V372,V232,
,X050B,Settlement type where interview was conducted,H_SETTLEMENT,,,,,,,
,X050C,Urban/Rural habitat,H_URBRURAL,,V263,V248,,,,
,X051,Ethnic group,Q290,V254,V256,V242,V233,V369,V233,
,X052,Institution of occupation,Q284,V230,V243,,,,,
,X053,Nature of tasks: manual vs. Cognitive,,V231,V244,,,,,
,X054,Nature of tasks: routine vs. Creative,,V232,V245,,,,,
,X055,Nature of tasks: independence,,V233,V246,,,,,
,Y001,Post-Materialist index 12-item,Y001,Y001,Y001,Y001,Y001,Y001,,
,Y002,Post-Materialist index 4-item,Y002,Y002,Y002,Y002,Y002,Y002,Y002,
,Y003,Autonomy Index,Y003,Y003,Y003,Y003,Y003,Y003,Y003,
,Y010,SACSECVAL.- Welzel Overall Secular Values,SACSECVAL,SACSECVAL,SACSECVAL,SACSECVAL,SACSECVAL,SACSECVAL,SACSECVAL,
,Y011,DEFIANCE.- Welzel defiance sub-index,DEFIANCE,DEFIANCE,DEFIANCE,DEFIANCE,DEFIANCE,DEFIANCE,DEFIANCE,
,Y011A,AUTHORITY - Welzel defiance - 1: Inverse respect for authority,I_AUTHORITY,I_AUTHORITY,I_AUTHORITY,I_AUTHORITY,I_AUTHORITY,I_AUTHORITY,I_AUTHORITY,
,Y011B,NATIONALISM - Welzel defiance - 2: Inverse national pride,I_NATIONALISM,I_NATIONALISM,I_NATIONALISM,I_NATIONALISM,I_NATIONALISM,I_NATIONALISM,I_NATIONALISM,
,Y011C,DEVOUT- Welzel defiance - 3: Inverse devoutness,I_DEVOUT,I_DEVOUT,I_DEVOUT,I_DEVOUT,I_DEVOUT,I_DEVOUT,I_DEVOUT,
,Y012,DISBELIEF.- Welzel disbelief sub-index,DISBELIEF,DISBELIEF,DISBELIEF,DISBELIEF,DISBELIEF,DISBELIEF,DISBELIEF,
,Y012A,RELIGIMP - Welzel disbelief- 1: Inverse importance of religion,I_RELIGIMP,I_RELIGIMP,I_RELIGIMP,I_RELIGIMP,I_RELIGIMP,I_RELIGIMP,I_RELIGIMP,
,Y012B,RELIGBEL - Welzel disbelief- 2: Inverse religious person,I_RELIGBEL,I_RELIGBEL,I_RELIGBEL,I_RELIGBEL,I_RELIGBEL,I_RELIGBEL,I_RELIGBEL,
,Y012C,RELIGPRAC - Welzel disbelief- 3: Inverse religious practice,I_RELIGPRAC,I_RELIGPRAC,I_RELIGPRAC,I_RELIGPRAC,I_RELIGPRAC,I_RELIGPRAC,I_RELIGPRAC,
,Y013,RELATIVISM.- Welzel relativism,RELATIVISM,RELATIVISM,RELATIVISM,RELATIVISM,RELATIVISM,RELATIVISM,RELATIVISM,
,Y013A,NORM1 - Welzel relativism- 1: Inverse norm conform1,I_NORM1,I_NORM1,I_NORM1,I_NORM1,I_NORM1,I_NORM1,I_NORM1,
,Y013B,NORM2 - Welzel relativism- 2: Inverse norm conform2,I_NORM2,I_NORM2,I_NORM2,I_NORM2,I_NORM2,I_NORM2,I_NORM2,
,Y013C,NORM3 - Welzel relativism- 3: Inverse norm conform3,I_NORM3,I_NORM3,I_NORM3,I_NORM3,I_NORM3,I_NORM3,I_NORM3,
,Y014,SCEPTICISM.- Welzel scepticism index,SCEPTICISM,SCEPTICISM,SCEPTICISM,SCEPTICISM,SCEPTICISM,SCEPTICISM,SCEPTICISM,
,Y014A,TRUSTARMY- Welzel scepticism- 1: Inverse trust in army,I_TRUSTARMY,I_TRUSTARMY,I_TRUSTARMY,I_TRUSTARMY,I_TRUSTARMY,I_TRUSTARMY,I_TRUSTARMY,
,Y014B,TRUSTPOLICE- Welzel scepticism- 2: Inverse trust in police,I_TRUSTPOLICE,I_TRUSTPOLICE,I_TRUSTPOLICE,I_TRUSTPOLICE,I_TRUSTPOLICE,I_TRUSTPOLICE,I_TRUSTPOLICE,
,Y014C,TRUSTCOURTS- Welzel scepticism- 3: Inverse trust in courts,I_TRUSTCOURTS,I_TRUSTCOURTS,I_TRUSTCOURTS,I_TRUSTCOURTS,I_TRUSTCOURTS,I_TRUSTCOURTS,I_TRUSTCOURTS,
,Y020,RESEMAVAL.- Welzel emancipative values,RESEMAVAL,RESEMAVAL,RESEMAVAL,RESEMAVAL,RESEMAVAL,RESEMAVAL,RESEMAVAL,
,Y021,AUTONOMY.- Wezel Autonomy subindex,AUTONOMY,AUTONOMY,AUTONOMY,AUTONOMY,AUTONOMY,AUTONOMY,AUTONOMY,
,Y021A,INDEP- Welzel autonomy-1: Independence as kid quality,I_INDEP,I_INDEP,I_INDEP,I_INDEP,I_INDEP,I_INDEP,I_INDEP,
,Y021B,IMAGIN- Welzel autonomy-2: Imagination as kid quality,I_IMAGIN,I_IMAGIN,I_IMAGIN,I_IMAGIN,I_IMAGIN,I_IMAGIN,I_IMAGIN,
,Y021C,NONOBED- Welzel autonomy-3: Obedience as kid quality,I_NONOBED,I_NONOBED,I_NONOBED,I_NONOBED,I_NONOBED,I_NONOBED,I_NONOBED,
,Y022,EQUALITY.- Welzel equality sub-index,EQUALITY,EQUALITY,EQUALITY,EQUALITY,EQUALITY,EQUALITY,EQUALITY,
,Y022A,WOMJOB- Welzel equality-1: Gender equality: job,I_WOMJOB,I_WOMJOB,I_WOMJOB,I_WOMJOB,I_WOMJOB,I_WOMJOB,I_WOMJOB,
,Y022B,WOMPOL- Welzel equality-2: Gender equality: politics,I_WOMPOL,I_WOMPOL,I_WOMPOL,I_WOMPOL,I_WOMPOL,I_WOMPOL,I_WOMPOL,
,Y022C,WOMEDU- Welzel equality-3: Gender equality: education,I_WOMEDU,I_WOMEDU,I_WOMEDU,I_WOMEDU,I_WOMEDU,I_WOMEDU,I_WOMEDU,
,Y023,CHOICE.- Welzel choice sub-index,CHOICE,CHOICE,CHOICE,CHOICE,CHOICE,CHOICE,CHOICE,
,Y023A,HOMOLIB- Welzel choice-1: Homosexuality acceptance,I_HOMOLIB,I_HOMOLIB,I_HOMOLIB,I_HOMOLIB,I_HOMOLIB,I_HOMOLIB,I_HOMOLIB,
,Y023B,ABORTLIB- Welzel choice-2: Abortion acceptable,I_ABORTLIB,I_ABORTLIB,I_ABORTLIB,I_ABORTLIB,I_ABORTLIB,I_ABORTLIB,I_ABORTLIB,
,Y023C,DIVORLIB- Welzel choice-3: Divorce acceptable,I_DIVORLIB,I_DIVORLIB,I_DIVORLIB,I_DIVORLIB,I_DIVORLIB,I_DIVORLIB,I_DIVORLIB,
,Y024,VOICE.- Welzel voice sub-index,VOICE,VOICE,VOICE,VOICE,VOICE,VOICE,VOICE,
,Y024A,VOICE1- Welzel voice-1,I_VOICE1,I_VOICE1,I_VOICE1,I_VOICE1,I_VOICE1,I_VOICE1,I_VOICE1,
,Y024B,VOICE2- Welzel voice-2,I_VOICE2,I_VOICE2,I_VOICE2,I_VOICE2,I_VOICE2,I_VOICE2,I_VOICE2,
,Y024C,VOI2_00- Welzel voice-3 (auxiliary),I_VOI2_00,I_VOI2_00,I_VOI2_00,I_VOI2_00,I_VOI2_00,I_VOI2_00,I_VOI2_00,
